BioSample	GenBank
SAMN19353337	GCA_018536705.1_PDT001048222.1
SAMN19372245	GCA_018573905.1_PDT001048815.1
SAMN19494324	GCA_018685365.1_PDT001057695.1
SAMN19573922	GCA_018748785.1_PDT001059103.1
SAMN19573370	GCA_018751015.1_PDT001058987.1
SAMN19595910	GCA_018771505.1_PDT001063188.1
SAMN19677367	GCA_018870065.1_PDT001067608.1
SAMN19668340	GCA_018875515.1_PDT001067106.1
SAMN19710148	GCA_018905015.1_PDT001070498.1
SAMN19158114	GCA_018963735.1_PDT001032079.1
SAMN19920673	GCA_019070325.1_PDT001079225.1
SAMN19974806	GCA_019087325.1_PDT001080017.1
SAMN20086318	GCA_019153125.1_PDT001083415.1
SAMN20082319	GCA_019158495.1_PDT001083129.1
SAMN20244066	GCA_019250575.1_PDT001090164.1
SAMN20244065	GCA_019251585.1_PDT001090165.1
SAMN20326566	GCA_019294305.1_PDT001093270.1
SAMN20343474	GCA_019319645.1_PDT001094271.1
SAMN20408311	GCA_019357135.1_PDT001096435.1
SAMN20429259	GCA_019379275.1_PDT001097173.1
SAMN20410322	GCA_019385255.1_PDT001096802.1
SAMN20458607	GCA_019396525.1_PDT001097905.1
SAMN20478068	GCA_019404705.1_PDT001098890.1
SAMN20478076	GCA_019404865.1_PDT001098895.1
SAMN20408295	GCA_019448405.1_PDT001096601.2
SAMN20549640	GCA_019473305.1_PDT001104315.1
SAMN20603125	GCA_019481005.1_PDT001103823.1
SAMN20600797	GCA_019484665.1_PDT001103628.1
SAMN20671010	GCA_019499125.1_PDT001105975.1
SAMN20695253	GCA_019536495.1_PDT001106732.1
SAMN20522657	GCA_019556595.1_PDT001102027.1
SAMN20522293	GCA_019558835.1_PDT001101872.1
SAMN20710368	GCA_019570655.1_PDT001107763.1
SAMN20849355	GCA_019683155.1_PDT001110986.1
SAMN20860525	GCA_019697555.1_PDT001112955.1
SAMN20862278	GCA_019699445.1_PDT001113081.1
SAMN20862146	GCA_019702105.1_PDT001113219.1
SAMN20929583	GCA_019721695.1_PDT001114746.1
SAMN20930945	GCA_019723565.1_PDT001114828.1
SAMN20930948	GCA_019723585.1_PDT001114830.1
SAMN20931144	GCA_019724135.1_PDT001114890.1
SAMN20931762	GCA_019726055.1_PDT001115226.1
SAMN20931347	GCA_019728015.1_PDT001115131.1
SAMN20934084	GCA_019738195.1_PDT001115389.1
SAMN20958701	GCA_019740835.1_PDT001115973.1
SAMN20983319	GCA_019777085.1_PDT001117115.1
SAMN21040184	GCA_019806165.1_PDT001119297.1
SAMN21040751	GCA_019815325.1_PDT001119537.1
SAMN21172382	GCA_019851985.1_PDT001121346.1
SAMN21207796	GCA_019870005.1_PDT001122353.1
SAMN21217359	GCA_019888465.1_PDT001123030.1
SAMN21369067	GCA_019918725.1_PDT001125962.1
SAMN21451024	GCA_020021615.1_PDT001131429.1
SAMN21615234	GCA_020151455.1_PDT001137688.1
SAMN21856932	GCA_020208245.1_PDT001141543.1
SAMN21873184	GCA_020213305.1_PDT001141799.1
SAMN21882400	GCA_020234855.1_PDT001142200.1
SAMN21879914	GCA_020237705.1_PDT001142097.1
SAMN21879199	GCA_020238025.1_PDT001142070.1
SAMN21877849	GCA_020239945.1_PDT001142036.1
SAMN22037270	GCA_020262445.1_PDT001144527.1
SAMN21907739	GCA_020277745.1_PDT001143267.1
SAMN22165080	GCA_020415705.1_PDT001147600.1
SAMN22223684	GCA_020460065.1_PDT001149201.1
SAMN22213141	GCA_020468685.1_PDT001148656.1
SAMN22308441	GCA_020505505.1_PDT001151113.1
SAMN22308136	GCA_020506285.1_PDT001151076.1
SAMN22561761	GCA_020615195.1_PDT001161074.1
SAMN22575011	GCA_020646015.1_PDT001162143.1
SAMN22590361	GCA_020653155.1_PDT001162480.1
SAMN22601080	GCA_020661345.1_PDT001163210.1
SAMN22635812	GCA_020673725.1_PDT001163932.1
SAMN22824460	GCA_020716325.1_PDT001166977.1
SAMN23285029	GCA_020896215.1_PDT001178094.1
SAMN23404507	GCA_020973305.1_PDT001183342.1
SAMN23425339	GCA_020978405.1_PDT001184578.1
SAMN23424251	GCA_020979845.1_PDT001184532.1
SAMN23492464	GCA_021003995.1_PDT001187186.1
SAMN23610988	GCA_021053485.1_PDT001195965.1
SAMN23573685	GCA_021064445.1_PDT001195228.1
SAMN23708058	GCA_021074965.1_PDT001197392.1
SAMN24724761	GCA_021400955.1_PDT001218436.1
SAMN24927037	GCA_021465945.1_PDT001222530.1
SAMN25074068	GCA_021520135.1_PDT001225818.1
SAMN25247554	GCA_021661195.1_PDT001230628.1
SAMN25519048	GCA_021759445.1_PDT001235095.1
SAMN26025973	GCA_022356625.1_PDT001252232.1
SAMN26149861	GCA_022368355.1_PDT001252864.1
SAMN26200334	GCA_022384935.1_PDT001253612.1
SAMN26315064	GCA_022420085.1_PDT001255858.1
SAMN26565134	GCA_022589695.1_PDT001264895.1
SAMN26660036	GCA_022606955.1_PDT001269202.1
SAMN26658995	GCA_022629415.1_PDT001268380.1
SAMN26749240	GCA_022640595.1_PDT001270906.1
SAMN26748672	GCA_022641415.1_PDT001270884.1
SAMN26655226	GCA_022661145.1_PDT001267834.1
SAMN26870998	GCA_022677605.1_PDT001273920.1
SAMN26893970	GCA_022687785.1_PDT001274691.1
SAMN27293960	GCA_022904755.1_PDT001279466.1
SAMN27293546	GCA_022905935.1_PDT001279421.1
SAMN27064385	GCA_022934145.1_PDT001277184.1
SAMN27562434	GCA_022980495.1_PDT001286812.1
SAMN27840892	GCA_023158635.1_PDT001294739.1
SAMN27178396	GCA_023270825.1_PDT001279026.1
SAMN28119947	GCA_023299265.1_PDT001300850.1
SAMN28191972	GCA_023342435.1_PDT001305941.1
SAMN28215605	GCA_023358135.1_PDT001307307.1
SAMN28456785	GCA_023421575.1_PDT001309419.1
SAMN28488378	GCA_023484785.1_PDT001310198.1
SAMN28495589	GCA_023495065.1_PDT001310548.1
SAMN28817019	GCA_023636725.1_PDT001321566.1
SAMN28816650	GCA_023637365.1_PDT001321520.1
SAMN28882016	GCA_023676165.1_PDT001323416.1
SAMN29012305	GCA_023730395.1_PDT001327787.1
SAMN29096914	GCA_023746015.1_PDT001329381.1
SAMN28934725	GCA_023786055.1_PDT001325951.1
SAMN28934839	GCA_023786495.1_PDT001325935.1
SAMN29379288	GCA_023967795.1_PDT001348162.1
SAMN29265516	GCA_023996915.1_PDT001339790.1
SAMN29265655	GCA_023997475.1_PDT001339763.1
SAMN29404957	GCA_024063015.1_PDT001349346.2
SAMN29442436	GCA_024103795.1_PDT001350567.1
SAMN29473352	GCA_024131565.1_PDT001351094.1
SAMN29486415	GCA_024132045.1_PDT001352095.1
SAMN29536395	GCA_024174715.1_PDT001353344.1
SAMN29738386	GCA_024269815.1_PDT001359553.1
SAMN29795012	GCA_024325905.1_PDT001363530.1
SAMN29938107	GCA_024445615.1_PDT001368994.1
SAMN30022991	GCA_024541435.1_PDT001372945.1
SAMN29506795	GCA_024738425.1_PDT001352719.1
SAMN30371067	GCA_024955285.1_PDT001391854.1
SAMN30926512	GCA_025322185.1_PDT001425159.1
SAMN32389030	GCA_027267515.1_PDT001545020.1
