BioSample	GenBank
SAMN08774401	GCA_007565185.1_PDT000297188.2
SAMN09045383	GCA_007573085.1_PDT000311383.2
SAMN08981725	GCA_007575385.1_PDT000309001.2
SAMN12221079	GCA_007618575.1_PDT000539191.1
SAMN12289494	GCA_007626715.1_PDT000545126.1
SAMN08376990	GCA_007629495.1_PDT000279007.2
SAMN08376877	GCA_007629835.1_PDT000278918.2
SAMN08379318	GCA_007630075.1_PDT000279291.2
SAMN08437344	GCA_007631295.1_PDT000282763.2
SAMN08437326	GCA_007631315.1_PDT000282736.2
SAMN08513764	GCA_007631655.1_PDT000286361.2
SAMN08446029	GCA_007632185.1_PDT000283292.2
SAMN08774378	GCA_007637375.1_PDT000297173.2
